"","author","gender","n_poems","n_tokens","prop_f_nouns","prop_f_adj","prop_f_verb","prop_intj","mean_ac","prop_f_pron","female","body","poetry","war","sorrow"
"1","Бунина А.","f",103,51608,0.31246712256707,0.239669421487603,0.0630577037477692,0.00108510308479306,-0.440248779876354,0.215797872340426,0.00153371178169505,0.00326162732795538,0.00205822793214487,0.00126979384523454,0.00303754606114929
"2","Кульман Е.Б.","f",15,3888,0.331707317073171,0.215533980582524,0.109500805152979,0.0059156378600823,-0.156072592542067,0.197719301683093,0.00141869831258377,0.00179165600204761,0.00144499984207144,0.00095577445283589,0.00255950857435372
"3","Павлова К.К.","f",16,2140,0.328840970350404,0.340425531914894,0.0469613259668508,0.0158878504672897,-0.0266134353792855,0.207264957264957,0.00288564880790129,0.0016211208893006,0.000730182475203318,0.00184952785114897,0.0016211208893006
"4","Поспелова М.","f",13,8856,0.338973491257755,0.353053435114504,0.0666189111747851,0.00745257452574526,-0.557532098282423,0.22516390271712,0.00355251141552511,0.00326576576576577,0.00133542136817246,0.00167531937455518,0.00557432432432432
"5","Ростопчина Е.П.","f",39,8205,0.338658146964856,0.342681858019281,0.123476848090983,0.00597196831200488,-0.516294774830009,0.247150555821641,0.00259279320726659,0.00386286817962337,0.0016488629565252,0.00162225965664846,0.00452679864799614
"6","Теплова Н.С.","f",56,4417,0.394465894465894,0.37987012987013,0.124615384615385,0.00905592030790129,-0.610505208844145,0.259648020113136,0.00410786126374536,0.00473506200676437,0.00172237237005349,0.00128796058980662,0.00518602029312289
"7","Шахова Е.Н.","f",30,5588,0.400498753117207,0.410526315789474,0.171361502347418,0.00769506084466714,-0.492769280610599,0.28766323024055,0.00373806607278167,0.00408380681818182,0.00261959107887683,0.00152351366241166,0.00736860795454545
"8","БаратынскийЕА","m",208,31728,0.338765008576329,0.333080999242998,0.0919023136246787,0.0017965204236006,-0.43687536317739,0.263320180663093,0.00313367711225704,0.00411543038476795,0.00208250694168981,0.0018345894486315,0.00401626338754462
"9","Бенедиктов В.Г.","m",30,6151,0.347555923777962,0.332960893854749,0.0986358866736621,0.00243862786538774,-0.34597191383965,0.235418743768694,0.00245240400129074,0.00834946757018393,0.00252769710659352,0.00209745079057761,0.00403355921264924
"10","ЖуковскийВА","m",456,195993,0.307154384077461,0.269709543568465,0.100490196078431,0.000372462281816187,-0.236299321125512,0.250211621706558,0.00198708395429707,0.00300546448087432,0.00132472263619805,0.00206159960258321,0.0027819175360159
"11","КарамзинНМ","m",120,37652,0.321456641341368,0.239423076923077,0.0420367081113085,0.00172633591841071,-0.44930263984803,0.234103883651875,0.00276232114467409,0.00404908585055644,0.00231849496555379,0.00149046104928458,0.00432233704292528
"12","Козлов И.И.","m",37,6974,0.402443831296807,0.379679144385027,0.12400354295837,0.00860338399770576,-0.33093433657692,0.297351709539368,0.00406038985217299,0.0048446850954688,0.00085494442861214,0.00133188904789272,0.00448845825021374
"13","ЛермонтовМЮ","m",407,110696,0.366044551475015,0.327762302692665,0.0659211300765156,0.000343282503432825,-0.179760098111632,0.235183218677378,0.00248821027622131,0.00374281181836209,0.00157599408097923,0.00160300434328692,0.00292484632163395
"14","ПушкинАС","m",652,164465,0.338557993730408,0.321274763135228,0.0809248554913295,0.000328337336211352,-0.161760806426588,0.238995459601393,0.00209873709805478,0.00196010321556173,0.0028442296617492,0.001503469814825,0.00143906312028583
"15","Тимофеев А.В.","m",27,9058,0.34281805745554,0.363908275174477,0.0594193112761648,0.00430558622212409,-0.091256517011589,0.194903452609412,0.00258355018152556,0.00424657534246575,0.00148982331880448,0.00195713210348453,0.00295890410958904
