word;score;index_c_a
 новенький ;76;5,33073334028633
 кожаная ;60;5,0943445622221
 самодельный ;49;4,89182029811063
 шерстяной ;49;4,89182029811063
 тоненькая ;46;4,8286413964891
 старенький ;42;4,73766961828337
 меховой ;42;4,73766961828337
 дощатый ;40;4,68887945411394
 бетонная ;36;4,58351893845611
 мужские ;33;4,49650756146648
 узкие ;33;4,49650756146648
 крытый ;32;4,46573590279973
 рваные ;28;4,3322045101752
 жестяная ;26;4,25809653802148
 суконная ;25;4,2188758248682
 бревенчатый ;25;4,2188758248682
 шерстяная ;25;4,2188758248682
 полукруглый ;25;4,2188758248682
 бетонный ;24,5;4,19867311755068
 иркутский ;24;4,17805383034795
 земляная ;24;4,17805383034795
 спасательный ;24;4,17805383034795
 поношенный ;24;4,17805383034795
 соседняя ;23;4,13549421592915
 бухарский ;22;4,09104245335832
 шерстяные ;22;4,09104245335832
 деревянная ;21,0833;4,0484812579106
 проволочный ;21;4,04452243772342
 резиновый ;20,6667;4,02852370927891
 кварцевый ;20,5;4,02042488614436
 ватный ;20;3,99573227355399
 низенький ;20;3,99573227355399
 поворотная ;19;3,94443897916644
 расписной ;19;3,94443897916644
 цинковый ;19;3,94443897916644
 белоснежный ;19;3,94443897916644
 просторные ;18;3,89037175789616
 запасный ;18;3,89037175789616
 мокрые ;18;3,89037175789616
 стальные ;18;3,89037175789616
 проволочная ;18;3,89037175789616
 новенькие ;18;3,89037175789616
 войлочная ;18;3,89037175789616
 баранья ;18;3,89037175789616
 пластмассовая ;18;3,89037175789616
 мохнатая ;17;3,83321334405622
 фанерный ;17;3,83321334405622
 ситцевый ;17;3,83321334405622
 хлопчатобумажный ;17;3,83321334405622
 цветочная ;17;3,83321334405622
 старенькая ;17;3,83321334405622
 тенистый ;17;3,83321334405622
 ажурная ;17;3,83321334405622
 округлая ;17;3,83321334405622
 тульский ;17;3,83321334405622
 александровский ;16,5;3,80336038090653
 резиновая ;16,5;3,80336038090653
 глиняный ;16,3333;3,79320596862411
 потайной ;16;3,77258872223978
 тюменский ;16;3,77258872223978
 витебский ;16;3,77258872223978
 белокаменный ;16;3,77258872223978
 шелковая ;15,75;3,75684036527164
 мятый ;15;3,70805020110221
 березовский ;15;3,70805020110221
 фанерная ;15;3,70805020110221
 воскресенский ;15;3,70805020110221
 исправный ;15;3,70805020110221
 гомельский ;15;3,70805020110221
 решетчатая ;15;3,70805020110221
 передвижной ;15;3,70805020110221
 голубые ;14,5;3,67414864942653
 шелковые ;14,5;3,67414864942653
 алюминиевая ;14,5;3,67414864942653
 тракторная ;14;3,63905732961526
 толстую ;14;3,63905732961526
 выборгский ;14;3,63905732961526
 волынский ;14;3,63905732961526
 йоркский ;14;3,63905732961526
 десантный ;14;3,63905732961526
 импортные ;14;3,63905732961526
 зубчатая ;14;3,63905732961526
 полотняная ;14;3,63905732961526
 разгрузочный ;14;3,63905732961526
 наклонный ;14;3,63905732961526
 измятый ;14;3,63905732961526
 шерстяное ;14;3,63905732961526
 деревянный ;13,7391;3,62024578246544
 модные ;13,5;3,60268968544438
 кухонный ;13,5;3,60268968544438
 штабной ;13,5;3,60268968544438
 узенький ;13,5;3,60268968544438
 астраханский ;13,5;3,60268968544438
 меховое ;13;3,56494935746154
 городском ;13;3,56494935746154
 александровская ;13;3,56494935746154
 низенькая ;13;3,56494935746154
 коническая ;13;3,56494935746154
 калининский ;13;3,56494935746154
 глиняная ;13;3,56494935746154
 графский ;13;3,56494935746154
 тесные ;13;3,56494935746154
 резиновые ;13;3,56494935746154
 дивизионный ;13;3,56494935746154
 михайловская ;13;3,56494935746154
 еловый ;13;3,56494935746154
 игрушечная ;13;3,56494935746154
 парадные ;13;3,56494935746154
 герметичный ;13;3,56494935746154
 старенькие ;13;3,56494935746154
 толстое ;12,5;3,52572864430826
 харьковский ;12,5;3,52572864430826
 синие ;12,3333;3,51230292126976
 щегольской ;12;3,484906649788
 полый ;12;3,484906649788
 эластичная ;12;3,484906649788
 парижском ;12;3,484906649788
 измайловский ;12;3,484906649788
 коаксиальный ;12;3,484906649788
 металлические ;12;3,484906649788
 пензенский ;12;3,484906649788
 армейские ;12;3,484906649788
 графитовая ;12;3,484906649788
 охотский ;12;3,484906649788
 георгиевский ;12;3,484906649788
 толстый ;11,8889;3,47560519170469
 стеклянная ;11,8571;3,47292684427692
 жестяной ;11,75;3,46385324059017
 владимирский ;11,5;3,4423470353692
 коричневые ;11,5;3,4423470353692
 шелковый ;11,1429;3,41080252378073
 мясные ;11;3,39789527279837
 самаркандский ;11;3,39789527279837
 сборочный ;11;3,39789527279837
 льняной ;11;3,39789527279837
 грузовая ;11;3,39789527279837
 сапожный ;11;3,39789527279837
 чугунная ;11;3,39789527279837
 приводной ;11;3,39789527279837
 еловая ;11;3,39789527279837
 мариинский ;11;3,39789527279837
 таганрогский ;11;3,39789527279837
 походное ;11;3,39789527279837
 импортное ;11;3,39789527279837
 земляное ;11;3,39789527279837
 лаковые ;11;3,39789527279837
 мятая ;11;3,39789527279837
 бриллиантовый ;11;3,39789527279837
 окровавленная ;11;3,39789527279837
 вкусная ;11;3,39789527279837
 дренажный ;11;3,39789527279837
 ивановская ;11;3,39789527279837
 полосатая ;11;3,39789527279837
 круглая ;10,8182;3,38122990098402
 паровая ;10,6667;3,36712673912673
 соседний ;10,5;3,35137525716348
 шелковое ;10,5;3,35137525716348
 головной ;10,5;3,35137525716348
 треугольная ;10,5;3,35137525716348
 кованый ;10,5;3,35137525716348
 жареный ;10,5;3,35137525716348
 фруктовый ;10,5;3,35137525716348
 меховая ;10,3333;3,33537169000538
 ювелирный ;10;3,30258509299405
 фрунзенский ;10;3,30258509299405
 ярославское ;10;3,30258509299405
 ладожский ;10;3,30258509299405
 донецкий ;10;3,30258509299405
 суздальский ;10;3,30258509299405
 атласная ;10;3,30258509299405
 дмитровский ;10;3,30258509299405
 кузнечный ;10;3,30258509299405
 панский ;10;3,30258509299405
 бронированный ;10;3,30258509299405
 оренбургский ;10;3,30258509299405
 крашеная ;10;3,30258509299405
 вкусное ;10;3,30258509299405
 опрятный ;10;3,30258509299405
 разгрузочная ;10;3,30258509299405
 разноцветные ;10;3,30258509299405
 ялтинский ;10;3,30258509299405
 кабельный ;10;3,30258509299405
 костяное ;10;3,30258509299405
 волостной ;10;3,30258509299405
 недостроенный ;10;3,30258509299405
 матерчатые ;10;3,30258509299405
 специализированных ;10;3,30258509299405
